Year,Variable,Unit,Commodity,Fresh,Processed,Total
2008,Vegetables,Pounds,Asparagus,1.184633335,0.29695407,1.481587405
2009,Vegetables,Pounds,Asparagus,1.294357263,0.228442195,1.522799458
2010,Vegetables,Pounds,Asparagus,1.366185991,0.215364247,1.581550239
2011,Vegetables,Pounds,Asparagus,1.381214518,0.261537,1.642751517
2012,Vegetables,Pounds,Asparagus,1.447711659,0.22750613,1.67521779
2013,Vegetables,Pounds,Asparagus,1.414396246,0.216901581,1.631297827
2014,Vegetables,Pounds,Asparagus,1.65076986,0.168966217,1.819736077
2015,Vegetables,Pounds,Asparagus,1.455382143,0.183682438,1.639064582
2016,Vegetables,Pounds,Asparagus,1.543325309,0.232079201,1.775404511
1970,Vegetables,Pounds,Dry edible beans,,6.24346233,6.24346233
1971,Vegetables,Pounds,Dry edible beans,,6.756208808,6.756208808
1972,Vegetables,Pounds,Dry edible beans,,5.765533121,5.765533121
1973,Vegetables,Pounds,Dry edible beans,,7.439298683,7.439298683
1974,Vegetables,Pounds,Dry edible beans,,5.481819851,5.481819851
1975,Vegetables,Pounds,Dry edible beans,,6.801666361,6.801666361
1976,Vegetables,Pounds,Dry edible beans,,6.270011494,6.270011494
1977,Vegetables,Pounds,Dry edible beans,,6.669621239,6.669621239
1978,Vegetables,Pounds,Dry edible beans,,5.063209603,5.063209603
1979,Vegetables,Pounds,Dry edible beans,,6.235828827,6.235828827
1980,Vegetables,Pounds,Dry edible beans,,5.396398184,5.396398184
1981,Vegetables,Pounds,Dry edible beans,,5.421430737,5.421430737
1982,Vegetables,Pounds,Dry edible beans,,7.347029244,7.347029244
1983,Vegetables,Pounds,Dry edible beans,,6.247275912,6.247275912
1984,Vegetables,Pounds,Dry edible beans,,5.407279377,5.407279377
1985,Vegetables,Pounds,Dry edible beans,,6.911872447,6.911872447
1986,Vegetables,Pounds,Dry edible beans,,6.358637571,6.358637571
1987,Vegetables,Pounds,Dry edible beans,,5.383596563,5.383596563
1988,Vegetables,Pounds,Dry edible beans,,6.846759739,6.846759739
1989,Vegetables,Pounds,Dry edible beans,,5.419570459,5.419570459
1990,Vegetables,Pounds,Dry edible beans,,6.729235147,6.729235147
1991,Vegetables,Pounds,Dry edible beans,,7.347317346,7.347317346
1992,Vegetables,Pounds,Dry edible beans,,7.818356299,7.818356299
1993,Vegetables,Pounds,Dry edible beans,,7.22657972,7.22657972
1994,Vegetables,Pounds,Dry edible beans,,7.707940764,7.707940764
1995,Vegetables,Pounds,Dry edible beans,,7.506149683,7.506149683
1996,Vegetables,Pounds,Dry edible beans,,7.434463868,7.434463868
1997,Vegetables,Pounds,Dry edible beans,,7.396851726,7.396851726
1998,Vegetables,Pounds,Dry edible beans,,7.259375357,7.259375357
1999,Vegetables,Pounds,Dry edible beans,,7.80220836,7.80220836
2000,Vegetables,Pounds,Dry edible beans,,7.683493007,7.683493007
2001,Vegetables,Pounds,Dry edible beans,,7.041432291,7.041432291
2002,Vegetables,Pounds,Dry edible beans,,6.812775919,6.812775919
2003,Vegetables,Pounds,Dry edible beans,,6.77109257,6.77109257
2004,Vegetables,Pounds,Dry edible beans,,5.98823354,5.98823354
2005,Vegetables,Pounds,Dry edible beans,,6.122475205,6.122475205
2006,Vegetables,Pounds,Dry edible beans,,6.446732565,6.446732565
2007,Vegetables,Pounds,Dry edible beans,,6.366048139,6.366048139
2008,Vegetables,Pounds,Dry edible beans,,6.449586231,6.449586231
2009,Vegetables,Pounds,Dry edible beans,,5.752891161,5.752891161
2010,Vegetables,Pounds,Dry edible beans,,6.760431139,6.760431139
2011,Vegetables,Pounds,Dry edible beans,,5.40852924,5.40852924
2012,Vegetables,Pounds,Dry edible beans,,5.874467348,5.874467348
2013,Vegetables,Pounds,Dry edible beans,,5.819300783,5.819300783
2014,Vegetables,Pounds,Dry edible beans,,5.623124082,5.623124082
2015,Vegetables,Pounds,Dry edible beans,,7.191325593,7.191325593
2016,Vegetables,Pounds,Dry edible beans,,6.742308981,6.742308981
1970,Vegetables,Pounds,Lima beans,,0.039844124,0.039844124
1971,Vegetables,Pounds,Lima beans,,0.030757995,0.030757995
1972,Vegetables,Pounds,Lima beans,,0.047255388,0.047255388
1973,Vegetables,Pounds,Lima beans,,0.112014977,0.112014977
1974,Vegetables,Pounds,Lima beans,,0.039280281,0.039280281
1975,Vegetables,Pounds,Lima beans,,0.052833368,0.052833368
1976,Vegetables,Pounds,Lima beans,,0.065563398,0.065563398
1977,Vegetables,Pounds,Lima beans,,0.045495018,0.045495018
1978,Vegetables,Pounds,Lima beans,,0.056908784,0.056908784
1979,Vegetables,Pounds,Lima beans,,0.132396982,0.132396982
1980,Vegetables,Pounds,Lima beans,,0.203000957,0.203000957
1981,Vegetables,Pounds,Lima beans,,0.141963021,0.141963021
1982,Vegetables,Pounds,Lima beans,,0.100553158,0.100553158
1983,Vegetables,Pounds,Lima beans,,0.096997702,0.096997702
1984,Vegetables,Pounds,Lima beans,,0.031602342,0.031602342
1985,Vegetables,Pounds,Lima beans,,0.03433483,0.03433483
1986,Vegetables,Pounds,Lima beans,,0.142983704,0.142983704
1987,Vegetables,Pounds,Lima beans,,0.069812834,0.069812834
1988,Vegetables,Pounds,Lima beans,,0.147589098,0.147589098
1989,Vegetables,Pounds,Lima beans,,0.038538186,0.038538186
1990,Vegetables,Pounds,Lima beans,,0.051528662,0.051528662
1991,Vegetables,Pounds,Lima beans,,0.200821603,0.200821603
1992,Vegetables,Pounds,Lima beans,,0.112399178,0.112399178
1993,Vegetables,Pounds,Lima beans,,0.026762152,0.026762152
1994,Vegetables,Pounds,Lima beans,,0.047232112,0.047232112
1995,Vegetables,Pounds,Lima beans,,0.234205056,0.234205056
1996,Vegetables,Pounds,Lima beans,,0.209320876,0.209320876
1997,Vegetables,Pounds,Lima beans,,0.203479831,0.203479831
1998,Vegetables,Pounds,Lima beans,,0.225473692,0.225473692
1999,Vegetables,Pounds,Lima beans,,0.170110899,0.170110899
2000,Vegetables,Pounds,Lima beans,,0.19453987,0.19453987
2001,Vegetables,Pounds,Lima beans,,0.335012077,0.335012077
2002,Vegetables,Pounds,Lima beans,,0.198495117,0.198495117
2003,Vegetables,Pounds,Lima beans,,0.178291735,0.178291735
2004,Vegetables,Pounds,Lima beans,,0.259597977,0.259597977
2005,Vegetables,Pounds,Lima beans,,0.17285823,0.17285823
2006,Vegetables,Pounds,Lima beans,,0.686320869,0.686320869
2007,Vegetables,Pounds,Lima beans,,0.258219551,0.258219551
2008,Vegetables,Pounds,Lima beans,,0.373266511,0.373266511
2009,Vegetables,Pounds,Lima beans,,0.823930488,0.823930488
2010,Vegetables,Pounds,Lima beans,,1.585057482,1.585057482
2011,Vegetables,Pounds,Lima beans,,0.838740304,0.838740304
2012,Vegetables,Pounds,Lima beans,,0.579076757,0.579076757
2013,Vegetables,Pounds,Lima beans,,1.335177662,1.335177662
2014,Vegetables,Pounds,Lima beans,,1.302762165,1.302762165
2015,Vegetables,Pounds,Lima beans,,2.302762165,2.302762165
2016,Vegetables,Pounds,Lima beans,,3.302762165,3.302762165
1970,Vegetables,Pounds,Snap beans,1.548387726,6.058212764,7.60660049
1971,Vegetables,Pounds,Snap beans,1.512561338,5.951810861,7.464372199
1972,Vegetables,Pounds,Snap beans,1.527423105,5.96677468,7.494197785
1973,Vegetables,Pounds,Snap beans,1.427971441,6.585434324,8.013405765
1974,Vegetables,Pounds,Snap beans,1.361209049,6.341897392,7.703106442
1975,Vegetables,Pounds,Snap beans,1.446477106,5.587426624,7.03390373
1976,Vegetables,Pounds,Snap beans,1.447932671,6.379161555,7.827094226
1977,Vegetables,Pounds,Snap beans,1.344902583,6.177828961,7.522731544
1978,Vegetables,Pounds,Snap beans,1.289395063,6.191310786,7.480705848
1979,Vegetables,Pounds,Snap beans,1.306791673,6.139087103,7.445878776
1980,Vegetables,Pounds,Snap beans,1.31457102,5.917154685,7.231725704
1981,Vegetables,Pounds,Snap beans,1.257051042,6.306448821,7.563499863
1982,Vegetables,Pounds,Snap beans,1.259832549,5.730268385,6.990100935
1983,Vegetables,Pounds,Snap beans,1.238904514,5.540469377,6.779373892
1984,Vegetables,Pounds,Snap beans,1.342643052,5.491316479,6.833959531
1985,Vegetables,Pounds,Snap beans,1.259869331,5.630114207,6.889983538
1986,Vegetables,Pounds,Snap beans,1.256263219,5.378470983,6.634734203
1987,Vegetables,Pounds,Snap beans,1.216524439,5.43410817,6.650632609
1988,Vegetables,Pounds,Snap beans,1.189506206,5.502891997,6.692398203
1989,Vegetables,Pounds,Snap beans,1.193949673,5.880563875,7.074513548
1990,Vegetables,Pounds,Snap beans,1.068800241,5.632181484,6.700981725
1991,Vegetables,Pounds,Snap beans,1.123470364,5.865861279,6.989331643
1992,Vegetables,Pounds,Snap beans,1.447293498,5.716634167,7.163927665
1993,Vegetables,Pounds,Snap beans,1.51518606,5.696567132,7.211753192
1994,Vegetables,Pounds,Snap beans,1.538669483,5.730452132,7.269121615
1995,Vegetables,Pounds,Snap beans,1.635525884,5.193142174,6.828668058
1996,Vegetables,Pounds,Snap beans,1.451637127,5.753301345,7.204938472
1997,Vegetables,Pounds,Snap beans,1.349745387,5.389110667,6.738856054
1998,Vegetables,Pounds,Snap beans,1.640574554,5.699549962,7.340124516
1999,Vegetables,Pounds,Snap beans,1.895181847,5.631752215,7.526934063
2000,Vegetables,Pounds,Snap beans,2.016033338,5.846648395,7.862681733
2001,Vegetables,Pounds,Snap beans,2.165436531,5.665463656,7.830900187
2002,Vegetables,Pounds,Snap beans,2.093334952,5.118758567,7.212093519
2003,Vegetables,Pounds,Snap beans,1.966898242,5.539101671,7.505999913
2004,Vegetables,Pounds,Snap beans,1.882187012,5.676506434,7.558693446
2005,Vegetables,Pounds,Snap beans,1.800891023,5.797429431,7.598320454
2006,Vegetables,Pounds,Snap beans,2.080476097,5.842849487,7.923325584
2007,Vegetables,Pounds,Snap beans,2.197900294,5.612793568,7.810693862
2008,Vegetables,Pounds,Snap beans,1.978776355,5.400075551,7.378851907
2009,Vegetables,Pounds,Snap beans,1.749366777,5.499937206,7.249303983
2010,Vegetables,Pounds,Snap beans,1.876142515,5.649201721,7.525344236
2011,Vegetables,Pounds,Snap beans,1.726455528,4.705274646,6.431730174
2012,Vegetables,Pounds,Snap beans,1.631635397,4.82930852,6.460943917
2013,Vegetables,Pounds,Snap beans,1.621476676,4.963522088,6.584998764
2014,Vegetables,Pounds,Snap beans,1.471046653,4.541285996,6.012332649
2015,Vegetables,Pounds,Snap beans,1.59062255,4.842757607,6.433380157
2016,Vegetables,Pounds,Snap beans,1.669087424,5.185953349,6.855040773
1970,Vegetables,Pounds,Beets,,1.772721066,1.772721066
1971,Vegetables,Pounds,Beets,,2.03793683,2.03793683
1972,Vegetables,Pounds,Beets,,1.997179556,1.997179556
1973,Vegetables,Pounds,Beets,,1.882883691,1.882883691
1974,Vegetables,Pounds,Beets,,1.75867648,1.75867648
1975,Vegetables,Pounds,Beets,,1.735865131,1.735865131
1976,Vegetables,Pounds,Beets,,1.848785745,1.848785745
1977,Vegetables,Pounds,Beets,,1.990110743,1.990110743
1978,Vegetables,Pounds,Beets,,1.900846867,1.900846867
1979,Vegetables,Pounds,Beets,,1.726866766,1.726866766
1980,Vegetables,Pounds,Beets,,1.819467255,1.819467255
1981,Vegetables,Pounds,Beets,,1.614586504,1.614586504
1982,Vegetables,Pounds,Beets,,1.364286307,1.364286307
1983,Vegetables,Pounds,Beets,,1.296307342,1.296307342
1984,Vegetables,Pounds,Beets,,1.302165419,1.302165419
1985,Vegetables,Pounds,Beets,,0.951152492,0.951152492
1986,Vegetables,Pounds,Beets,,1.1568204,1.1568204
1987,Vegetables,Pounds,Beets,,0.875595146,0.875595146
1988,Vegetables,Pounds,Beets,,1.021146558,1.021146558
1989,Vegetables,Pounds,Beets,,0.965740098,0.965740098
1990,Vegetables,Pounds,Beets,,1.023189925,1.023189925
1991,Vegetables,Pounds,Beets,,0.945072591,0.945072591
1992,Vegetables,Pounds,Beets,,0.916486956,0.916486956
1993,Vegetables,Pounds,Beets,,0.831569038,0.831569038
1994,Vegetables,Pounds,Beets,,1.135911569,1.135911569
1995,Vegetables,Pounds,Beets,,1.125462847,1.125462847
1996,Vegetables,Pounds,Beets,,0.933521714,0.933521714
1997,Vegetables,Pounds,Beets,,0.894061089,0.894061089
1998,Vegetables,Pounds,Beets,,0.749904931,0.749904931
1999,Vegetables,Pounds,Beets,,0.839255984,0.839255984
2000,Vegetables,Pounds,Beets,,0.801460196,0.801460196
2001,Vegetables,Pounds,Beets,,0.779365478,0.779365478
2002,Vegetables,Pounds,Beets,,0.466649607,0.466649607
2003,Vegetables,Pounds,Beets,,0.55092985,0.55092985
2004,Vegetables,Pounds,Beets,,0.643111259,0.643111259
2005,Vegetables,Pounds,Beets,,0.570874407,0.570874407
2006,Vegetables,Pounds,Beets,,0.402218791,0.402218791
2007,Vegetables,Pounds,Beets,,0.419199861,0.419199861
2008,Vegetables,Pounds,Beets,,0.498936517,0.498936517
2009,Vegetables,Pounds,Beets,,0.466183871,0.466183871
2010,Vegetables,Pounds,Beets,,0.475297908,0.475297908
2011,Vegetables,Pounds,Beets,,0.517152969,0.517152969
2012,Vegetables,Pounds,Beets,,0.556266541,0.556266541
2013,Vegetables,Pounds,Beets,,0.530727675,0.530727675
2014,Vegetables,Pounds,Beets,,0.538267638,0.538267638
2015,Vegetables,Pounds,Beets,,0.534387188,0.534387188
2016,Vegetables,Pounds,Beets,,0.534387188,0.534387188
1970,Vegetables,Pounds,Broccoli,0.532547842,0.965012143,1.497559985
1971,Vegetables,Pounds,Broccoli,0.720404891,0.900485744,1.620890634
1972,Vegetables,Pounds,Broccoli,0.702252544,0.92749152,1.629744064
1973,Vegetables,Pounds,Broccoli,0.758344384,1.011471811,1.769816195
1974,Vegetables,Pounds,Broccoli,0.786517905,0.998469657,1.784987562
1975,Vegetables,Pounds,Broccoli,0.990401578,1.013912975,2.004314553
1976,Vegetables,Pounds,Broccoli,1.076891325,1.120462114,2.197353439
1977,Vegetables,Pounds,Broccoli,1.227303066,1.093859566,2.321162632
1978,Vegetables,Pounds,Broccoli,0.987321697,1.417347974,2.404669671
1979,Vegetables,Pounds,Broccoli,1.199688965,1.392694187,2.592383151
1980,Vegetables,Pounds,Broccoli,1.40095773,1.455371682,2.856329412
1981,Vegetables,Pounds,Broccoli,1.65651792,1.564054107,3.220572027
1982,Vegetables,Pounds,Broccoli,1.987065654,1.516525501,3.503591154
1983,Vegetables,Pounds,Broccoli,2.030686236,1.568162157,3.598848394
1984,Vegetables,Pounds,Broccoli,2.457739012,1.743249899,4.200988911
1985,Vegetables,Pounds,Broccoli,2.5787693,1.96108328,4.539852581
1986,Vegetables,Pounds,Broccoli,3.046636,1.784788872,4.831424872
1987,Vegetables,Pounds,Broccoli,3.087515033,2.215943724,5.303458757
1988,Vegetables,Pounds,Broccoli,3.77433771,2.415548055,6.189885765
1989,Vegetables,Pounds,Broccoli,3.804301206,2.168657163,5.972958369
1990,Vegetables,Pounds,Broccoli,3.368001895,2.232763261,5.600765156
1991,Vegetables,Pounds,Broccoli,3.042809794,2.252110104,5.294919897
1992,Vegetables,Pounds,Broccoli,3.415728082,2.382963933,5.798692015
1993,Vegetables,Pounds,Broccoli,3.332991493,2.271374624,5.604366117
1994,Vegetables,Pounds,Broccoli,4.430294462,2.30899073,6.739285192
1995,Vegetables,Pounds,Broccoli,4.307023053,2.549877296,6.856900349
1996,Vegetables,Pounds,Broccoli,4.516061925,2.518894584,7.034956508
1997,Vegetables,Pounds,Broccoli,4.965275034,2.283456886,7.24873192
1998,Vegetables,Pounds,Broccoli,5.044979212,2.079153356,7.124132568
1999,Vegetables,Pounds,Broccoli,6.159255798,2.11103045,8.270286248
2000,Vegetables,Pounds,Broccoli,5.888447875,2.253371629,8.141819504
2001,Vegetables,Pounds,Broccoli,5.398693855,2.037930863,7.436624718
2002,Vegetables,Pounds,Broccoli,5.351338238,2.097374415,7.448712653
2003,Vegetables,Pounds,Broccoli,5.347268424,2.59244825,7.939716674
2004,Vegetables,Pounds,Broccoli,5.313715639,2.666817398,7.980533037
2005,Vegetables,Pounds,Broccoli,5.341623004,2.710410006,8.05203301
2006,Vegetables,Pounds,Broccoli,5.761133951,2.253020969,8.01415492
2007,Vegetables,Pounds,Broccoli,5.636014653,2.676221303,8.312235957
2008,Vegetables,Pounds,Broccoli,6.03487079,2.695916091,8.730786881
2009,Vegetables,Pounds,Broccoli,6.207269256,2.500519174,8.70778843
2010,Vegetables,Pounds,Broccoli,5.953382274,2.450346151,8.403728425
2011,Vegetables,Pounds,Broccoli,5.940117224,2.653225747,8.593342971
2012,Vegetables,Pounds,Broccoli,6.301994737,2.559407279,8.861402016
2013,Vegetables,Pounds,Broccoli,6.925769213,2.48115048,9.406919693
2014,Vegetables,Pounds,Broccoli,6.644277553,2.582548204,9.226825757
2015,Vegetables,Pounds,Broccoli,7.404190336,2.585346793,9.989537129
2016,Vegetables,Pounds,Broccoli,7.449445823,2.634678183,10.08412401
1970,Vegetables,Pounds,Brussels sprouts,0.317259719,,0.317259719
1971,Vegetables,Pounds,Brussels sprouts,0.299957045,,0.299957045
1972,Vegetables,Pounds,Brussels sprouts,0.279047862,,0.279047862
1973,Vegetables,Pounds,Brussels sprouts,0.267567682,,0.267567682
1974,Vegetables,Pounds,Brussels sprouts,0.333405033,,0.333405033
1975,Vegetables,Pounds,Brussels sprouts,0.308834901,,0.308834901
1976,Vegetables,Pounds,Brussels sprouts,0.346274681,,0.346274681
1977,Vegetables,Pounds,Brussels sprouts,0.348712081,,0.348712081
1978,Vegetables,Pounds,Brussels sprouts,0.352674259,,0.352674259
1979,Vegetables,Pounds,Brussels sprouts,0.368354402,,0.368354402
1980,Vegetables,Pounds,Brussels sprouts,0.285430737,,0.285430737
1981,Vegetables,Pounds,Brussels sprouts,0.363532,,0.363532
1982,Vegetables,Pounds,Brussels sprouts,0.319568625,,0.319568625
1983,Vegetables,Pounds,Brussels sprouts,0.293631859,,0.293631859
1984,Vegetables,Pounds,Brussels sprouts,0.306751062,,0.306751062
1985,Vegetables,Pounds,Brussels sprouts,0.328768042,,0.328768042
1986,Vegetables,Pounds,Brussels sprouts,0.326614059,,0.326614059
1987,Vegetables,Pounds,Brussels sprouts,0.258644833,,0.258644833
1988,Vegetables,Pounds,Brussels sprouts,0.255896433,,0.255896433
1989,Vegetables,Pounds,Brussels sprouts,0.336780652,,0.336780652
1990,Vegetables,Pounds,Brussels sprouts,0.317032607,,0.317032607
1991,Vegetables,Pounds,Brussels sprouts,0.299022064,,0.299022064
1992,Vegetables,Pounds,Brussels sprouts,0.282217568,,0.282217568
1993,Vegetables,Pounds,Brussels sprouts,0.347735874,,0.347735874
1994,Vegetables,Pounds,Brussels sprouts,0.32379781,,0.32379781
1995,Vegetables,Pounds,Brussels sprouts,0.335012774,,0.335012774
1996,Vegetables,Pounds,Brussels sprouts,0.330407503,,0.330407503
1997,Vegetables,Pounds,Brussels sprouts,0.247698892,,0.247698892
1998,Vegetables,Pounds,Brussels sprouts,0.281404487,,0.281404487
1999,Vegetables,Pounds,Brussels sprouts,0.25779194,,0.25779194
2000,Vegetables,Pounds,Brussels sprouts,0.283106287,,0.283106287
2001,Vegetables,Pounds,Brussels sprouts,0.229852334,,0.229852334
2002,Vegetables,Pounds,Brussels sprouts,0.200808392,,0.200808392
2003,Vegetables,Pounds,Brussels sprouts,0.23743906,,0.23743906
2004,Vegetables,Pounds,Brussels sprouts,0.245174083,,0.245174083
2005,Vegetables,Pounds,Brussels sprouts,0.287646816,,0.287646816
2006,Vegetables,Pounds,Brussels sprouts,0.282271963,,0.282271963
2007,Vegetables,Pounds,Brussels sprouts,0.30096193,,0.30096193
2008,Vegetables,Pounds,Brussels sprouts,0.323345315,,0.323345315
2009,Vegetables,Pounds,Brussels sprouts,0.280896417,,0.280896417
2010,Vegetables,Pounds,Brussels sprouts,0.277960653,,0.277960653
2011,Vegetables,Pounds,Brussels sprouts,0.353176741,,0.353176741
2012,Vegetables,Pounds,Brussels sprouts,0.408069596,,0.408069596
2013,Vegetables,Pounds,Brussels sprouts,0.432158667,,0.432158667
2014,Vegetables,Pounds,Brussels sprouts,0.461591474,,0.461591474
2015,Vegetables,Pounds,Brussels sprouts,0.69484657,,0.69484657
2016,Vegetables,Pounds,Brussels sprouts,0.831482604,,0.831482604
1970,Vegetables,Pounds,Cabbage,8.672434309,2.302933129,10.97536744
1971,Vegetables,Pounds,Cabbage,8.822070586,2.467796861,11.28986745
1972,Vegetables,Pounds,Cabbage,8.372241491,2.186583684,10.55882518
1973,Vegetables,Pounds,Cabbage,8.860407062,2.129631224,10.99003829
1974,Vegetables,Pounds,Cabbage,8.825179796,2.26596318,11.09114298
1975,Vegetables,Pounds,Cabbage,8.912225139,2.053324346,10.96554949
1976,Vegetables,Pounds,Cabbage,8.364712088,2.218834742,10.58354683
1977,Vegetables,Pounds,Cabbage,8.282365975,2.187870977,10.47023695
1978,Vegetables,Pounds,Cabbage,8.54780421,2.089838518,10.63764273
1979,Vegetables,Pounds,Cabbage,8.052827087,2.058128253,10.11095534
1980,Vegetables,Pounds,Cabbage,7.997189605,1.985717088,9.982906693
1981,Vegetables,Pounds,Cabbage,8.152044215,2.026977914,10.17902213
1982,Vegetables,Pounds,Cabbage,8.556915086,1.696980372,10.25389546
1983,Vegetables,Pounds,Cabbage,8.206182487,2.078475431,10.28465792
1984,Vegetables,Pounds,Cabbage,8.567531775,1.697729908,10.26526168
1985,Vegetables,Pounds,Cabbage,8.737241368,1.592348763,10.32959013
1986,Vegetables,Pounds,Cabbage,8.640948926,1.550612456,10.19156138
1987,Vegetables,Pounds,Cabbage,9.077527553,1.61105175,10.6885793
